Teaching_Year,Test_Year,OrgName,Test_Name,Suppressed_Value
2006-2007,2007,Colchester High School,NECAP Math Grade 11,33.36363636
2004-2005,2005,Academy School,NECAP Math Grades 3-8,41.53623188
2004-2005,2005,Academy School,NECAP Reading Grades 3-8,42.73113208
2004-2005,2005,Academy School,NECAP Writing Grade 5,31.90909091
2004-2005,2005,Addison Central School,NECAP Math Grades 3-8,40.59375
2004-2005,2005,Addison Central School,NECAP Reading Grades 3-8,43.22340426
2004-2005,2005,Addison Central School,NECAP Writing Grade 5,41.55555556
2004-2005,2005,Albany Community School,NECAP Math Grades 3-8,40.89041096
2004-2005,2005,Albany Community School,NECAP Reading Grades 3-8,42.51351351
2004-2005,2005,Albany Community School,NECAP Writing Grade 5,39.3125
2004-2005,2005,Albany Community School,NECAP Writing Grade 8,35.63636364
2004-2005,2005,Albert Bridge Sch (W Wind),NECAP Math Grades 3-8,44.26666667
2004-2005,2005,Albert Bridge Sch (W Wind),NECAP Reading Grades 3-8,47.04444444
2004-2005,2005,Albert Bridge Sch (W Wind),NECAP Writing Grade 5,
2004-2005,2005,Albert D. Lawton School,NECAP Math Grades 3-8,45.848
2004-2005,2005,Albert D. Lawton School,NECAP Reading Grades 3-8,49.01195219
2004-2005,2005,Albert D. Lawton School,NECAP Writing Grade 8,41.48387097
2004-2005,2005,Alburgh Community Education Center,NECAP Math Grades 3-8,36.50364963
2004-2005,2005,Alburgh Community Education Center,NECAP Reading Grades 3-8,36.61313869
2004-2005,2005,Alburgh Community Education Center,NECAP Writing Grade 5,33.13043478
2004-2005,2005,Alburgh Community Education Center,NECAP Writing Grade 8,28.86363636
2004-2005,2005,Arlington Memorial School,NECAP Math Grades 3-8,40.1372549
2004-2005,2005,Arlington Memorial School,NECAP Reading Grades 3-8,44.17307692
2004-2005,2005,Arlington Memorial School,NECAP Writing Grade 8,40
2004-2005,2005,Athens/Grafton Joint Contract School,NECAP Math Grades 3-8,44.69767442
2004-2005,2005,Athens/Grafton Joint Contract School,NECAP Reading Grades 3-8,41.24444444
2004-2005,2005,Athens/Grafton Joint Contract School,NECAP Writing Grade 5,
2004-2005,2005,Bakersfield School,NECAP Math Grades 3-8,38.68181818
2004-2005,2005,Bakersfield School,NECAP Reading Grades 3-8,40.78899083
2004-2005,2005,Bakersfield School,NECAP Writing Grade 5,28.05263158
2004-2005,2005,Bakersfield School,NECAP Writing Grade 8,34.68181818
2004-2005,2005,Barnard Academy,NECAP Math Grades 3-8,44.61904762
2004-2005,2005,Barnard Academy,NECAP Reading Grades 3-8,48.16666667
2004-2005,2005,Barnard Academy,NECAP Writing Grade 5,42.08333333
2004-2005,2005,Barnet Elementary School,NECAP Math Grades 3-8,45.90625
2004-2005,2005,Barnet Elementary School,NECAP Reading Grades 3-8,46.57142857
2004-2005,2005,Barnet Elementary School,NECAP Writing Grade 5,40.23076923
2004-2005,2005,Barnet Elementary School,NECAP Writing Grade 8,41.375
2004-2005,2005,Barre City Elementary/Middle School,NECAP Math Grades 3-8,40.14448669
2004-2005,2005,Barre City Elementary/Middle School,NECAP Reading Grades 3-8,40.53231939
2004-2005,2005,Barre City Elementary/Middle School,NECAP Writing Grade 5,31.50549451
2004-2005,2005,Barre City Elementary/Middle School,NECAP Writing Grade 8,34.73333333
2004-2005,2005,Barre Town Elementary School,NECAP Math Grades 3-8,45.08910891
2004-2005,2005,Barre Town Elementary School,NECAP Reading Grades 3-8,47.22296173
2004-2005,2005,Barre Town Elementary School,NECAP Writing Grade 5,42.18085106
2004-2005,2005,Barre Town Elementary School,NECAP Writing Grade 8,42.40566038
2004-2005,2005,Barstow Memorial School,NECAP Math Grades 3-8,47.56741573
2004-2005,2005,Barstow Memorial School,NECAP Reading Grades 3-8,52.50282486
2004-2005,2005,Barstow Memorial School,NECAP Writing Grade 5,40.72413793
2004-2005,2005,Barstow Memorial School,NECAP Writing Grade 8,43.93939394
2004-2005,2005,Barton Graded School,NECAP Math Grades 3-8,41.98198198
2004-2005,2005,Barton Graded School,NECAP Reading Grades 3-8,41.59259259
2004-2005,2005,Barton Graded School,NECAP Writing Grade 5,43
2004-2005,2005,Barton Graded School,NECAP Writing Grade 8,40.34782609
2004-2005,2005,Beeman Elementary School,NECAP Math Grades 3-8,43.21153846
2004-2005,2005,Beeman Elementary School,NECAP Reading Grades 3-8,44.55339806
2004-2005,2005,Beeman Elementary School,NECAP Writing Grade 5,38.2
2004-2005,2005,Bellows Falls Middle School,NECAP Math Grades 3-8,39.48128342
2004-2005,2005,Bellows Falls Middle School,NECAP Reading Grades 3-8,40.89130435
2004-2005,2005,Bellows Falls Middle School,NECAP Writing Grade 8,36.09302326
2004-2005,2005,Bellows Free Academy (Fairfax),NECAP Math Grades 3-8,42.05847953
2004-2005,2005,Bellows Free Academy (Fairfax),NECAP Reading Grades 3-8,43.90909091
2004-2005,2005,Bellows Free Academy (Fairfax),NECAP Writing Grade 5,41.6
2004-2005,2005,Bellows Free Academy (Fairfax),NECAP Writing Grade 8,43.44827586
2004-2005,2005,Bennington Elementary School,NECAP Math Grades 3-8,37.95238095
2004-2005,2005,Bennington Elementary School,NECAP Reading Grades 3-8,39.3877551
2004-2005,2005,Bennington Elementary School,NECAP Writing Grade 5,34.42424242
2004-2005,2005,Benson Village School,NECAP Math Grades 3-8,38.79310345
