Teaching_Year,Test_Year,OrgName,Test_Name,Level 3 Proficient
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.44
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.44
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.46
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.37
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.41
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.44
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.50
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.20
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.50
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.48
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.60
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.44
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.56
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.56
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.57
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.59
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.46
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.56
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.62
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.53
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.55
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.66
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.40
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.57
2011-2012,2012,Academy School,NECAP Science Grade 4,0.41
2011-2012,2012,Academy School,NECAP Science Grade 4,0.59
2011-2012,2012,Academy School,NECAP Science Grade 4,0.48
2011-2012,2012,Academy School,NECAP Science Grade 4,0.41
2011-2012,2012,Academy School,NECAP Science Grade 4,0.24
2011-2012,2012,Academy School,NECAP Science Grade 4,0.32
2011-2012,2012,Academy School,NECAP Writing Grade 5,0.48
2011-2012,2012,Academy School,NECAP Writing Grade 5,0.63
2011-2012,2012,Academy School,NECAP Writing Grade 5,0.53
2011-2012,2012,Academy School,NECAP Writing Grade 5,0.48
2011-2012,2012,Academy School,NECAP Writing Grade 5,0.33
2011-2012,2012,Academy School,NECAP Writing Grade 5,0.42
2011-2012,2012,Addison Central School,NECAP Math Grades 3-8,0.65
2011-2012,2012,Addison Central School,NECAP Math Grades 3-8,0.65
2011-2012,2012,Addison Central School,NECAP Math Grades 3-8,0.65
2011-2012,2012,Addison Central School,NECAP Math Grades 3-8,0.65
2011-2012,2012,Addison Central School,NECAP Math Grades 3-8,0.62
2011-2012,2012,Addison Central School,NECAP Math Grades 3-8,0.65
2011-2012,2012,Addison Central School,NECAP Math Grades 3-8,0.67
2011-2012,2012,Addison Central School,NECAP Math Grades 3-8,0.67
2011-2012,2012,Addison Central School,NECAP Math Grades 3-8,0.69
2011-2012,2012,Addison Central School,NECAP Reading Grades 3-8,0.69
2011-2012,2012,Addison Central School,NECAP Reading Grades 3-8,0.72
2011-2012,2012,Addison Central School,NECAP Reading Grades 3-8,0.69
2011-2012,2012,Addison Central School,NECAP Reading Grades 3-8,0.69
2011-2012,2012,Addison Central School,NECAP Reading Grades 3-8,0.65
2011-2012,2012,Addison Central School,NECAP Reading Grades 3-8,0.69
2011-2012,2012,Addison Central School,NECAP Reading Grades 3-8,0.60
2011-2012,2012,Addison Central School,NECAP Reading Grades 3-8,0.74
2011-2012,2012,Addison Central School,NECAP Science Grade 4,0.40
2011-2012,2012,Addison Central School,NECAP Science Grade 4,0.40
2011-2012,2012,Addison Central School,NECAP Science Grade 4,0.40
2011-2012,2012,Addison Central School,NECAP Writing Grade 5,0.20
2011-2012,2012,Addison Central School,NECAP Writing Grade 5,0.20
2011-2012,2012,Addison Central School,NECAP Writing Grade 5,0.20
2011-2012,2012,Albany Community School,NECAP Math Grades 3-8,0.50
2011-2012,2012,Albany Community School,NECAP Math Grades 3-8,0.58
2011-2012,2012,Albany Community School,NECAP Math Grades 3-8,0.50
2011-2012,2012,Albany Community School,NECAP Math Grades 3-8,0.43
2011-2012,2012,Albany Community School,NECAP Math Grades 3-8,0.54
2011-2012,2012,Albany Community School,NECAP Math Grades 3-8,0.50
2011-2012,2012,Albany Community School,NECAP Math Grades 3-8,0.25
2011-2012,2012,Albany Community School,NECAP Math Grades 3-8,0.53
2011-2012,2012,Albany Community School,NECAP Math Grades 3-8,0.46
2011-2012,2012,Albany Community School,NECAP Reading Grades 3-8,0.44
2011-2012,2012,Albany Community School,NECAP Reading Grades 3-8,0.53
2011-2012,2012,Albany Community School,NECAP Reading Grades 3-8,0.44
2011-2012,2012,Albany Community School,NECAP Reading Grades 3-8,0.71
2011-2012,2012,Albany Community School,NECAP Reading Grades 3-8,0.50
2011-2012,2012,Albany Community School,NECAP Reading Grades 3-8,0.44
2011-2012,2012,Albany Community School,NECAP Reading Grades 3-8,0.17
2011-2012,2012,Albany Community School,NECAP Reading Grades 3-8,0.33
2011-2012,2012,Albany Community School,NECAP Reading Grades 3-8,0.38
2011-2012,2012,Albert Bridge Sch (W Wind),NECAP Math Grades 3-8,0.42
2011-2012,2012,Albert Bridge Sch (W Wind),NECAP Math Grades 3-8,0.42
2011-2012,2012,Albert Bridge Sch (W Wind),NECAP Math Grades 3-8,0.35
2011-2012,2012,Albert Bridge Sch (W Wind),NECAP Math Grades 3-8,0.42
2011-2012,2012,Albert Bridge Sch (W Wind),NECAP Math Grades 3-8,0.52
2011-2012,2012,Albert Bridge Sch (W Wind),NECAP Reading Grades 3-8,0.54
