Teaching_Year,Test_Year,School Name,Test_Name,Level 3 Proficient
2011-2012,2012,Academy School,NECAP Math Grades 3-8,0.444897959
2011-2012,2012,Academy School,NECAP Reading Grades 3-8,0.564853556
2011-2012,2012,Academy School,NECAP Science Grade 4,0.410714286
2011-2012,2012,Academy School,NECAP Writing Grade 5,0.481481481
2011-2012,2012,Addison Central School,NECAP Math Grades 3-8,0.652777778
2011-2012,2012,Addison Central School,NECAP Reading Grades 3-8,0.694444444
2011-2012,2012,Addison Central School,NECAP Science Grade 4,0.4
2011-2012,2012,Addison Central School,NECAP Writing Grade 5,0.2
2011-2012,2012,Albany Community School,NECAP Math Grades 3-8,0.5
2011-2012,2012,Albany Community School,NECAP Reading Grades 3-8,0.44
2011-2012,2012,Albany Community School,NECAP Science Grade 4,
2011-2012,2012,Albany Community School,NECAP Science Grade 8,
2011-2012,2012,Albany Community School,NECAP Writing Grade 5,
2011-2012,2012,Albany Community School,NECAP Writing Grade 8,
2011-2012,2012,Albert Bridge Sch (W Wind),NECAP Math Grades 3-8,0.423076923
2011-2012,2012,Albert Bridge Sch (W Wind),NECAP Reading Grades 3-8,0.538461538
2011-2012,2012,Albert Bridge Sch (W Wind),NECAP Science Grade 4,0.785714286
2011-2012,2012,Albert Bridge Sch (W Wind),NECAP Writing Grade 5,0.428571429
2011-2012,2012,Albert D. Lawton School,NECAP Math Grades 3-8,0.45814978
2011-2012,2012,Albert D. Lawton School,NECAP Reading Grades 3-8,0.45814978
2011-2012,2012,Albert D. Lawton School,NECAP Science Grade 8,0.403508772
2011-2012,2012,Albert D. Lawton School,NECAP Writing Grade 8,0.568807339
2011-2012,2012,Alburgh Community Education Center,NECAP Math Grades 3-8,0.460869565
2011-2012,2012,Alburgh Community Education Center,NECAP Reading Grades 3-8,0.539130435
2011-2012,2012,Alburgh Community Education Center,NECAP Science Grade 4,0.461538462
2011-2012,2012,Alburgh Community Education Center,NECAP Science Grade 8,0.05
2011-2012,2012,Alburgh Community Education Center,NECAP Writing Grade 5,0.333333333
2011-2012,2012,Alburgh Community Education Center,NECAP Writing Grade 8,0.466666667
2011-2012,2012,Arlington Memorial School,NECAP Math Grade 11,0.368421053
2011-2012,2012,Arlington Memorial School,NECAP Math Grades 3-8,0.471698113
2011-2012,2012,Arlington Memorial School,NECAP Reading Grade 11,0.210526316
2011-2012,2012,Arlington Memorial School,NECAP Reading Grades 3-8,0.660377358
2011-2012,2012,Arlington Memorial School,NECAP Science Grade 11,0.291666667
2011-2012,2012,Arlington Memorial School,NECAP Science Grade 8,0.307692308
2011-2012,2012,Arlington Memorial School,NECAP Writing Grade 11,0.421052632
2011-2012,2012,Arlington Memorial School,NECAP Writing Grade 8,0.375
2011-2012,2012,Athens/Grafton Joint Contract School,NECAP Math Grades 3-8,0.5
2011-2012,2012,Athens/Grafton Joint Contract School,NECAP Reading Grades 3-8,0.5
2011-2012,2012,Athens/Grafton Joint Contract School,NECAP Science Grade 4,
2011-2012,2012,Athens/Grafton Joint Contract School,NECAP Writing Grade 5,
2011-2012,2012,Bakersfield School,NECAP Math Grades 3-8,0.432989691
2011-2012,2012,Bakersfield School,NECAP Reading Grades 3-8,0.649484536
2011-2012,2012,Bakersfield School,NECAP Science Grade 4,0.263157895
2011-2012,2012,Bakersfield School,NECAP Science Grade 8,0.071428571
2011-2012,2012,Bakersfield School,NECAP Writing Grade 5,0.444444444
2011-2012,2012,Bakersfield School,NECAP Writing Grade 8,0.3125
2011-2012,2012,Barnard Academy,NECAP Math Grades 3-8,0.380952381
2011-2012,2012,Barnard Academy,NECAP Reading Grades 3-8,0.547619048
2011-2012,2012,Barnard Academy,NECAP Science Grade 4,
2011-2012,2012,Barnard Academy,NECAP Writing Grade 5,
2011-2012,2012,Barnet Elementary School,NECAP Math Grades 3-8,0.422413793
2011-2012,2012,Barnet Elementary School,NECAP Reading Grades 3-8,0.577586207
2011-2012,2012,Barnet Elementary School,NECAP Science Grade 4,0.48
2011-2012,2012,Barnet Elementary School,NECAP Science Grade 8,0.25
2011-2012,2012,Barnet Elementary School,NECAP Writing Grade 5,0.434782609
2011-2012,2012,Barnet Elementary School,NECAP Writing Grade 8,0.588235294
2011-2012,2012,Barre City Elementary/Middle School,NECAP Math Grades 3-8,0.480620155
2011-2012,2012,Barre City Elementary/Middle School,NECAP Reading Grades 3-8,0.494186046
2011-2012,2012,Barre City Elementary/Middle School,NECAP Science Grade 4,0.44047619
2011-2012,2012,Barre City Elementary/Middle School,NECAP Science Grade 8,0.026315789
2011-2012,2012,Barre City Elementary/Middle School,NECAP Writing Grade 5,0.363636364
2011-2012,2012,Barre City Elementary/Middle School,NECAP Writing Grade 8,0.489795918
2011-2012,2012,Barre Town Elementary School,NECAP Math Grades 3-8,0.484288355
2011-2012,2012,Barre Town Elementary School,NECAP Reading Grades 3-8,0.582255083
2011-2012,2012,Barre Town Elementary School,NECAP Science Grade 4,0.5
2011-2012,2012,Barre Town Elementary School,NECAP Science Grade 8,0.157894737
2011-2012,2012,Barre Town Elementary School,NECAP Writing Grade 5,0.469387755
2011-2012,2012,Barre Town Elementary School,NECAP Writing Grade 8,0.619565217
2011-2012,2012,Barstow Memorial School,NECAP Math Grades 3-8,0.465408805
2011-2012,2012,Barstow Memorial School,NECAP Reading Grades 3-8,0.572327044
2011-2012,2012,Barstow Memorial School,NECAP Science Grade 4,0.708333333
2011-2012,2012,Barstow Memorial School,NECAP Science Grade 8,0.416666667
2011-2012,2012,Barstow Memorial School,NECAP Writing Grade 5,0.416666667
2011-2012,2012,Barstow Memorial School,NECAP Writing Grade 8,0.419354839
2011-2012,2012,Barton Graded School,NECAP Math Grades 3-8,0.504424779
2011-2012,2012,Barton Graded School,NECAP Reading Grades 3-8,0.592920354
