OrgName,COUNTY_NAME,LEAName
Academy School,Windham,Brattleboro
Addison Central School,Addison,Addison
Albany Community School,Orleans,Albany
Albert Bridge Sch (W Wind),Windsor,West Windsor
Albert D. Lawton School,Chittenden,Essex Junction ID
Alburgh Community Education Center,Grand Isle,Alburgh
Arlington Memorial School,Bennington,Arlington
Athens/Grafton Joint Contract School,Windham,Athens/Grafton Contract School District
Bakersfield School,Franklin,Bakersfield
Barnard Academy,Windsor,Barnard
Barnet Elementary School,Caledonia,Barnet
Barre City Elementary/Middle School,Washington,Barre City
Barre Town Elementary School,Washington,Barre Town
Barstow Memorial School,Rutland,Barstow Joint Contract Dist
Barton Graded School,Orleans,Barton ID
Beeman Elementary School,Addison,New Haven
Bellows Falls Middle School,Windham,Bellows Falls UHSD #27 (District)
Bellows Falls UHS #27,Windham,Bellows Falls UHSD #27 (District)
Bellows Free Academy (Fairfax),Franklin,Fairfax
Bellows Free Academy High School (Fairfax),Franklin,Fairfax
Bellows Free Academy USD #48 (St Albans),Franklin,Bellows Free Academy UHSD #48
Bennington Elementary School,Bennington,Bennington ID
Benson Village School,Rutland,Benson
Berkshire Elementary School,Franklin,Berkshire
Berlin Elementary School,Washington,Berlin
Bethel Elementary School,Windsor,Bethel
Bingham Memorial School,Addison,Cornwall
Black River US #39,Windsor,Black River USD #39 (District)
Blue Mountain US #21,Orange,Blue Mountain USD #21 (District)
Bradford Elementary School,Orange,Bradford ID
Braintree School,Orange,Braintree
Brattleboro Area Middle School #6,Windham,Brattleboro UHSD #6 (District)
Brattleboro UHS #6,Windham,Brattleboro UHSD #6 (District)
Brewster Pierce School,Chittenden,Huntington
Bridgewater Village School,Windsor,Bridgewater
Bridport Central School,Addison,Bridport
Brighton Elementary School,Essex,Brighton
Bristol Elementary School,Addison,Bristol
Brookfield Elementary School,Orange,Brookfield
Brownington Central School,Orleans,Brownington
Browns River Middle US #17,Chittenden,Mt Mansfield USD #17 (District)
Burke Town School,Caledonia,Burke
Burlington Senior High School,Chittenden,Burlington
C. P. Smith School,Chittenden,Burlington
Cabot School,Washington,Cabot
Calais Elementary School,Washington,Calais
Cambridge Elementary School,Lamoille,Cambridge
Camels Hump Middle US #17,Chittenden,Mt Mansfield USD #17 (District)
Canaan Schools,Essex,Canaan
Castleton Hubbardton US #42,Rutland,Castleton Hubbardton USD #42 (District)
Cavendish Town Elementary School,Windsor,Cavendish
Central Elementary School,Windham,Rockingham
Chamberlin School,Chittenden,South Burlington
Champlain Elementary School,Chittenden,Burlington
Champlain Valley UHS #15,Chittenden,Champlain Valley UHSD #15 (District)
Charleston Elementary School,Orleans,Charleston
Charlotte Central School,Chittenden,Charlotte
Chelsea Elementary High School,Orange,Chelsea
Chester Andover US #29,Windsor,Chester Andover USD #29 (District)
Clarendon Elementary School,Rutland,Clarendon
Colchester High School,Chittenden,Colchester
Colchester Middle School,Chittenden,Colchester
Concord Graded/High School,Essex,Concord
Coventry Village School,Orleans,Coventry
Craftsbury Schools,Orleans,Craftsbury
Crossett Brook Middle US #45,Washington,Duxbury/Waterbury Union #45
Currier Memorial US #23,Rutland,Currier Memorial USD #23 (District)
Danville School,Caledonia,Danville
Deerfield Valley Elementary School,Windham,Wilmington
Derby Elementary School,Orleans,Derby
Dorset School,Bennington,Dorset
Dothan Brook School,Windsor,Hartford
Doty Memorial School,Washington,Worcester
Dover Elementary School,Windham,Dover
Dummerston Schools,Windham,Dummerston
E. Taylor Hatton School,Orleans,Morgan
East Haven School,Essex,East Haven
East Montpelier Elementary School,Washington,East Montpelier
Eden Central School,Lamoille,Eden
Edmunds Elementary School,Chittenden,Burlington
Edmunds Middle School,Chittenden,Burlington
Elm Hill School,Windsor,Springfield
Elmore School,Lamoille,Elmore
Enosburg Elementary School,Franklin,Enosburgh
Enosburg Middle/High School,Franklin,Enosburgh
Essex Elementary School,Chittenden,Essex Town
Essex High School,Chittenden,Essex Comm Ed Ctr UHSD #46 (District)
Essex Middle School,Chittenden,Essex Town
Fair Haven Grade School,Rutland,Fair Haven
Fair Haven UHS #16,Rutland,Fair Haven UHSD #16 (District)
