State,Region,Assessment Unit ID,Cycle,Water Status,Water Name,Water Type,Water Size,Size Unit,Water Type Group,Monitoring Scheduled Date
VT,1,VT14-05.02,2008,IMPAIRED,Tributary to Tabor Branch,RIVER,0.1,MILES,STREAM/CREEK/RIVER,-
VT,1,VT15-01.01,2008,IMPAIRED,Passumpsic Main Stem,RIVER,5,MILES,STREAM/CREEK/RIVER,-
VT,1,VT15-04.01,2008,IMPAIRED,Sleepers River,RIVER,1.5,MILES,STREAM/CREEK/RIVER,-
VT,1,VT17-01.01,2008,IMPAIRED,Crystal Brook,RIVER,0.3,MILES,STREAM/CREEK/RIVER,-
VT,1,VT17-02.01,2008,IMPAIRED,Stearns Brook,RIVER,0.5,MILES,STREAM/CREEK/RIVER,-
VT,1,VT16-11L01,2008,IMPAIRED,UNKNOWN (AVYGOR),FRESHWATER LAKE,19,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT16-11L02,2008,GOOD,LEWIS,FRESHWATER LAKE,68,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT16-11L03,2008,GOOD,MCCONNELL,FRESHWATER LAKE,87,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT05-07L04,2008,GOOD,LOST (GEORGA),FRESHWATER LAKE,10,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT05-08L01_01,2008,GOOD,LONG (MILTON),FRESHWATER LAKE,38,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT05-08L01_02,2008,GOOD,LONG (MILTON),FRESHWATER LAKE,9,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-01,2008,GOOD,Poultney Mainstem and tributaries,RIVER,18.8,MILES,STREAM/CREEK/RIVER,-
VT,1,VT02-02,2008,GOOD,Hubbardton River,RIVER,31,MILES,STREAM/CREEK/RIVER,-
VT,1,VT02-03,2008,GOOD,Castleton River,RIVER,47,MILES,STREAM/CREEK/RIVER,-
VT,1,VT02-04,2008,GOOD,Upper Poultney Watershed,RIVER,59.2,MILES,STREAM/CREEK/RIVER,-
VT,1,VT02-05,2008,GOOD,Mettawee River Watershed,RIVER,38.6,MILES,STREAM/CREEK/RIVER,-
VT,1,VT03-01,2008,GOOD,Lower Otter Creek,RIVER,18.1,MILES,STREAM/CREEK/RIVER,-
VT,1,VT03-02,2008,NOT_ASSESSED,Minor Tribs - Lower Otter Creek,RIVER,12,MILES,STREAM/CREEK/RIVER,-
VT,1,VT03-03,2008,NOT_ASSESSED,Mid-Main Stem Otter Creek,RIVER,34.1,MILES,STREAM/CREEK/RIVER,-
VT,1,VT03-04,2008,GOOD,Tribs to Mid Mainstem Otter Creek,RIVER,29,MILES,STREAM/CREEK/RIVER,-
VT,1,VT03-05,2008,GOOD,Upper Main Stem Otter Creek,RIVER,20.5,MILES,STREAM/CREEK/RIVER,-
VT,1,VT03-06,2008,GOOD,Tribs - Upper Main Stem Otter Creek,RIVER,8.7,MILES,STREAM/CREEK/RIVER,-
VT,1,VT03-07,2008,GOOD,Little Otter Creek minus segments,RIVER,78.7,MILES,STREAM/CREEK/RIVER,-
VT,1,VT03-08,2008,GOOD,Lewis Creek,RIVER,26.2,MILES,STREAM/CREEK/RIVER,-
VT,1,VT05-10L02_02,2008,IMPAIRED,CHAMP-MAIN LAKE,FRESHWATER LAKE,4201,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT05-11L01_01,2008,IMPAIRED,CHAMP-SHELBURNE BAY,FRESHWATER LAKE,1801,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT05-11L01_02,2008,IMPAIRED,CHAMP-SHELBURNE BAY,FRESHWATER LAKE,442,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT05-11L01_03,2008,IMPAIRED,CHAMP-SHELBURNE BAY,FRESHWATER LAKE,6,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT05-11L02_01,2008,GOOD,IROQUOIS,FRESHWATER LAKE,197,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT05-11L02_02,2008,IMPAIRED,IROQUOIS,FRESHWATER LAKE,46,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT05-11L03,2008,GOOD,LOWER,FRESHWATER LAKE,58,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT05-12L01,2008,GOOD,DUCK (SHELBN),FRESHWATER LAKE,4,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT06-03L01,2008,GOOD,OXBOW;,FRESHWATER LAKE,27,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT06-05L01,2008,IMPAIRED,METCALF,FRESHWATER LAKE,81,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-03L01_01,2008,GOOD,BIG,FRESHWATER LAKE,21,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-03L01_02,2008,GOOD,BIG,FRESHWATER LAKE,5,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-03L01_03,2008,GOOD,BIG,FRESHWATER LAKE,5,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-03L02_01,2008,GOOD,HANCOCK (STAMFD),FRESHWATER LAKE,41,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-03L02_02,2008,GOOD,HANCOCK (STAMFD),FRESHWATER LAKE,10,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-03L03,2008,GOOD,SOUTH STREAM,FRESHWATER LAKE,24,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-03L04,2008,GOOD,SHAFTSBURY,FRESHWATER LAKE,27,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-03L05,2008,GOOD,PARAN,FRESHWATER LAKE,40,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-03L06,2008,GOOD,THOMPSONS,FRESHWATER LAKE,28,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-03L07,2008,GOOD,BARBER,FRESHWATER LAKE,19,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L01,2008,IMPAIRED,BOURN,FRESHWATER LAKE,48,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L02,2008,IMPAIRED,MADELEINE,FRESHWATER LAKE,20,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L03,2008,GOOD,HOPPER,FRESHWATER LAKE,1,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L04,2008,GOOD,BARBOS,FRESHWATER LAKE,7,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L05,2008,GOOD,DUFRESNE,FRESHWATER LAKE,8,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L06,2008,GOOD,BULLHEAD (MANCHR),FRESHWATER LAKE,5,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L07,2008,GOOD,EQUINOX,FRESHWATER LAKE,15,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L08,2008,GOOD,PICKEREL,FRESHWATER LAKE,9,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L09,2008,GOOD,SOUTH VILLAGE,FRESHWATER LAKE,5,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L10,2008,IMPAIRED,LITTLE MUD (WINHLL),FRESHWATER LAKE,21,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L11,2008,IMPAIRED,LYE BROOK-N;,FRESHWATER LAKE,10,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-05L12,2008,IMPAIRED,LYE BROOK-S;,FRESHWATER LAKE,18,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-06L01,2008,IMPAIRED,BRANCH,FRESHWATER LAKE,34,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-06L02,2008,IMPAIRED,BEEBE (SUNDLD),FRESHWATER LAKE,8,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-06L03,2008,GOOD,MILLER;,FRESHWATER LAKE,11,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-06L04,2008,GOOD,LOST (SUNDLD),FRESHWATER LAKE,2,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT01-07L01,2008,GOOD,KENT HOLLOW;,FRESHWATER LAKE,10,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-01L01,2008,IMPAIRED,COGGMAN,FRESHWATER LAKE,20,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-01L02,2008,GOOD,BILLINGS MARSH,FRESHWATER LAKE,56,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-01L03_01,2008,GOOD,INMAN,FRESHWATER LAKE,68,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-01L03_02,2008,GOOD,INMAN,FRESHWATER LAKE,17,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-01L04_01,2008,GOOD,OLD MARSH,FRESHWATER LAKE,105,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-01L04_02,2008,GOOD,OLD MARSH,FRESHWATER LAKE,26,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-01L05_01,2008,GOOD,ROOT,FRESHWATER LAKE,14,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-01L05_02,2008,GOOD,ROOT,FRESHWATER LAKE,4,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-02L01_01,2008,GOOD,SPRUCE (ORWELL),FRESHWATER LAKE,24,ACRES,LAKE/RESERVOIR/POND,-
VT,1,VT02-02L01_02,2008,GOOD,SPRUCE (ORWELL),FRESHWATER LAKE,1,ACRES,LAKE/RESERVOIR/POND,-
